                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.53226,                0.33813,                0.97009,                0.96846,                0.98973,                  0.995,                0.85921,                0.64425,                0.30206,                 1.0561,               0.003598,               0.003598,               0.003598
                     99,                0.54575,                0.35956,                 0.9775,                0.96665,                0.97331,                  0.995,                0.85874,                0.64121,                0.31265,                 1.0545,               0.003532,               0.003532,               0.003532
                    100,                 0.5531,                0.33843,                 0.9586,                0.95508,                      1,                  0.995,                0.85253,                0.64576,                0.30345,                 1.0615,               0.003466,               0.003466,               0.003466
                    101,                0.50169,                0.34322,                0.95472,                0.96423,                0.99475,                  0.995,                0.86226,                0.65265,                0.31471,                 1.0633,                 0.0034,                 0.0034,                 0.0034
                    102,                0.54511,                0.36076,                0.99488,                 0.9735,                0.99764,                  0.995,                0.85309,                 0.6503,                0.32347,                 1.0627,               0.003334,               0.003334,               0.003334
                    103,                0.50017,                0.32536,                0.94974,                0.97719,                      1,                  0.995,                0.85359,                 0.6579,                0.30119,                 1.0744,               0.003268,               0.003268,               0.003268
                    104,                0.51482,                0.33569,                0.95631,                0.96944,                      1,                  0.995,                0.86248,                0.67148,                0.28581,                 1.0726,               0.003202,               0.003202,               0.003202
                    105,                0.53228,                0.35157,                 0.9609,                0.96765,                      1,                  0.995,                 0.8548,                0.67052,                0.29298,                 1.0741,               0.003136,               0.003136,               0.003136
                    106,                0.50612,                0.32414,                0.95897,                0.97432,                0.99418,                  0.995,                0.85817,                 0.6656,                0.29715,                 1.0719,                0.00307,                0.00307,                0.00307
                    107,                0.48235,                0.31767,                 0.9582,                0.97414,                      1,                  0.995,                0.84941,                0.66524,                0.31526,                 1.0691,               0.003004,               0.003004,               0.003004
                    108,                0.49574,                0.32497,                0.95051,                0.97834,                      1,                  0.995,                0.84599,                0.67829,                0.30661,                 1.0815,               0.002938,               0.002938,               0.002938
                    109,                0.50328,                 0.3373,                 0.9519,                0.97754,                      1,                  0.995,                0.85431,                0.68015,                0.30162,                 1.0927,               0.002872,               0.002872,               0.002872
                    110,                0.48127,                0.31875,                0.96248,                0.96542,                  0.993,                  0.995,                0.86057,                0.66885,                0.31485,                 1.0876,               0.002806,               0.002806,               0.002806
                    111,                0.49485,                0.32773,                 0.9511,                0.97518,                 0.9968,                  0.995,                0.85201,                0.66391,                0.30799,                 1.0795,                0.00274,                0.00274,                0.00274
                    112,                0.51531,                0.31925,                 0.9574,                0.97892,                      1,                  0.995,                0.85665,                0.66461,                 0.3021,                  1.078,               0.002674,               0.002674,               0.002674
                    113,                0.50007,                0.32896,                0.96902,                0.97906,                      1,                  0.995,                0.86749,                0.65857,                0.29189,                 1.0669,               0.002608,               0.002608,               0.002608
                    114,                0.45236,                0.29897,                0.94441,                0.97523,                      1,                  0.995,                0.85382,                0.65658,                0.28564,                 1.0564,               0.002542,               0.002542,               0.002542
                    115,                0.49599,                0.32976,                 0.9658,                0.98312,                      1,                  0.995,                0.86196,                0.64547,                0.28187,                 1.0584,               0.002476,               0.002476,               0.002476
                    116,                0.50144,                0.30599,                0.96438,                0.97978,                      1,                  0.995,                0.85417,                0.65975,                0.27869,                 1.0675,                0.00241,                0.00241,                0.00241
                    117,                0.48906,                 0.3043,                 0.9541,                0.97559,                      1,                  0.995,                0.84197,                0.68133,                0.29266,                 1.0843,               0.002344,               0.002344,               0.002344
                    118,                0.48117,                0.30146,                0.94541,                0.96512,                      1,                  0.995,                0.85072,                0.68752,                 0.2989,                 1.0886,               0.002278,               0.002278,               0.002278
                    119,                 0.4665,                0.29387,                0.93841,                0.97662,                      1,                  0.995,                0.84432,                0.67935,                0.32651,                 1.0876,               0.002212,               0.002212,               0.002212
                    120,                0.46128,                0.28592,                0.95249,                0.97442,                      1,                  0.995,                0.84896,                0.65968,                0.30729,                 1.0744,               0.002146,               0.002146,               0.002146
                    121,                0.47688,                0.29929,                0.95679,                0.97676,                      1,                  0.995,                 0.8524,                0.66328,                0.29321,                   1.08,                0.00208,                0.00208,                0.00208
                    122,                0.51654,                 0.3041,                0.97165,                0.98425,                      1,                  0.995,                0.85421,                 0.6432,                 0.2945,                 1.0676,               0.002014,               0.002014,               0.002014
                    123,                0.46462,                0.29974,                0.93628,                0.98437,                      1,                  0.995,                0.86704,                0.64837,                0.29342,                 1.0726,               0.001948,               0.001948,               0.001948
                    124,                0.45074,                0.29946,                0.92942,                0.98348,                      1,                  0.995,                0.84843,                0.64648,                0.28121,                 1.0661,               0.001882,               0.001882,               0.001882
                    125,                  0.453,                0.29149,                0.92336,                0.98251,                      1,                  0.995,                0.85177,                0.64999,                0.27901,                 1.0659,               0.001816,               0.001816,               0.001816
                    126,                0.45509,                0.28324,                0.94918,                0.98308,                      1,                  0.995,                0.86062,                0.64422,                0.26968,                  1.057,                0.00175,                0.00175,                0.00175
                    127,                0.46184,                0.28837,                0.95642,                0.98085,                      1,                  0.995,                0.86606,                0.64337,                0.27302,                 1.0543,               0.001684,               0.001684,               0.001684
                    128,                0.44421,                0.28472,                0.90908,                0.98027,                      1,                  0.995,                0.86245,                0.64369,                0.27322,                 1.0548,               0.001618,               0.001618,               0.001618
                    129,                0.42795,                0.27151,                0.93015,                0.98287,                      1,                  0.995,                 0.8576,                0.62801,                0.26904,                 1.0399,               0.001552,               0.001552,               0.001552
                    130,                0.41295,                0.25935,                0.91644,                0.98475,                      1,                  0.995,                0.85765,                0.62386,                0.26919,                 1.0384,               0.001486,               0.001486,               0.001486
                    131,                0.40642,                0.26382,                0.91447,                0.98635,                      1,                  0.995,                0.86656,                  0.622,                  0.275,                  1.038,                0.00142,                0.00142,                0.00142
                    132,                0.41571,                0.26021,                0.90807,                0.98909,                      1,                  0.995,                0.86678,                0.61763,                0.26282,                 1.0382,               0.001354,               0.001354,               0.001354
                    133,                0.42098,                0.26298,                0.92147,                 0.9889,                      1,                  0.995,                0.85953,                0.61226,                 0.2626,                 1.0404,               0.001288,               0.001288,               0.001288
                    134,                0.42133,                0.28638,                 0.9124,                0.98908,                      1,                  0.995,                0.86671,                0.61403,                 0.2615,                 1.0462,               0.001222,               0.001222,               0.001222
                    135,                0.41988,                0.26169,                0.93297,                0.98727,                      1,                  0.995,                0.86033,                0.62005,                0.26761,                 1.0494,               0.001156,               0.001156,               0.001156
                    136,                0.42252,                0.26905,                0.93923,                0.98929,                      1,                  0.995,                0.86035,                0.62545,                0.26648,                 1.0525,                0.00109,                0.00109,                0.00109
                    137,                0.42321,                 0.2586,                0.94924,                0.99005,                      1,                  0.995,                0.86595,                0.63016,                0.27407,                  1.049,               0.001024,               0.001024,               0.001024
                    138,                0.42832,                0.28861,                0.95262,                0.98681,                      1,                  0.995,                0.86694,                0.63566,                0.26359,                  1.049,               0.000958,               0.000958,               0.000958
                    139,                0.41421,                0.25706,                0.92483,                0.98505,                      1,                  0.995,                0.86735,                 0.6333,                0.26587,                 1.0485,               0.000892,               0.000892,               0.000892
                    140,                 0.3594,                0.22142,                0.90739,                0.98287,                      1,                  0.995,                0.86476,                0.62999,                0.26344,                  1.046,               0.000826,               0.000826,               0.000826
                    141,                0.35124,                 0.2315,                0.89826,                0.98117,                      1,                  0.995,                0.86983,                0.62995,                0.26085,                 1.0444,                0.00076,                0.00076,                0.00076
                    142,                  0.358,                0.22083,                 0.8935,                0.98103,                      1,                  0.995,                0.86085,                0.62884,                0.26309,                 1.0436,               0.000694,               0.000694,               0.000694
                    143,                0.33683,                0.21216,                0.89656,                0.98142,                      1,                  0.995,                0.86856,                0.62488,                0.26335,                 1.0375,               0.000628,               0.000628,               0.000628
                    144,                0.33963,                0.20864,                0.89724,                0.98182,                      1,                  0.995,                0.86488,                0.62015,                0.25823,                 1.0355,               0.000562,               0.000562,               0.000562
                    145,                0.34396,                0.21368,                0.91968,                0.98187,                      1,                  0.995,                0.86111,                0.61453,                0.25648,                 1.0353,               0.000496,               0.000496,               0.000496
                    146,                0.34764,                0.21232,                0.90862,                0.98554,                      1,                  0.995,                0.85974,                0.60837,                0.25366,                 1.0328,                0.00043,                0.00043,                0.00043
                    147,                0.32862,                0.20891,                0.90283,                 0.9864,                      1,                  0.995,                0.86572,                0.60443,                0.25069,                 1.0315,               0.000364,               0.000364,               0.000364
                    148,                 0.3012,                0.20456,                0.88469,                 0.9855,                      1,                  0.995,                0.87587,                0.60331,                0.24813,                 1.0312,               0.000298,               0.000298,               0.000298
                    149,                0.33964,                 0.2084,                0.87263,                 0.9856,                      1,                  0.995,                0.87205,                0.60245,                0.24617,                 1.0298,               0.000232,               0.000232,               0.000232
